epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,9584.83,0.70964,0.39589,0.91985,0.98199,0.99935,0.99081,0.77791,0.84717,0.39561,0.98079,0.00021471,0.00021471,0.00021471
90,9688.44,0.71263,0.39871,0.91826,0.98316,0.99946,0.9899,0.77844,0.8575,0.39843,0.98353,0.000198206,0.000198206,0.000198206
91,9792.43,0.71135,0.39453,0.93299,0.98468,0.99083,0.98999,0.76948,0.85951,0.4093,0.9871,0.000181703,0.000181703,0.000181703
92,9895.75,0.6884,0.38505,0.91085,0.984,0.9898,0.98907,0.76473,0.85893,0.4126,0.98751,0.0001652,0.0001652,0.0001652
93,9995.73,0.70242,0.38838,0.90207,0.98473,0.99131,0.98863,0.76364,0.86216,0.4096,0.98897,0.000148696,0.000148696,0.000148696
94,10099.1,0.70186,0.38728,0.91196,0.98229,1,0.98912,0.76399,0.86105,0.40365,0.98853,0.000132193,0.000132193,0.000132193
95,10207,0.68528,0.37801,0.91531,0.98343,1,0.9898,0.75985,0.85937,0.40078,0.98812,0.00011569,0.00011569,0.00011569
96,10311.7,0.6802,0.38041,0.90999,0.98436,1,0.99032,0.76345,0.85772,0.39796,0.98699,9.91865e-05,9.91865e-05,9.91865e-05
97,10414.5,0.69348,0.38182,0.90961,0.98391,1,0.99114,0.76239,0.85444,0.39867,0.98502,8.26832e-05,8.26832e-05,8.26832e-05
98,10518.5,0.68681,0.38583,0.92181,0.98426,1,0.99178,0.76261,0.85344,0.39601,0.98485,6.61799e-05,6.61799e-05,6.61799e-05
99,10620.8,0.67198,0.36706,0.9137,0.98395,0.9993,0.99238,0.76192,0.85404,0.39524,0.98485,4.96766e-05,4.96766e-05,4.96766e-05
100,10723.2,0.67801,0.3693,0.90369,0.98356,0.99926,0.9926,0.76237,0.8577,0.39505,0.9857,3.31733e-05,3.31733e-05,3.31733e-05
