timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399907.7974765,32,2,0.940765,0.905084,735,553,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075528,0.185984,0.794000,1
1787399907.7974765,32,3,0.928851,0.954981,899,552,900,497,meter,0.809000,0.223871,0.189078,0.809000,0.223871,0.193328,0.809000,1
1787399908.019415,33,1,0.930133,0.922157,737,262,737,210,meter,0.826000,0.061194,-0.100282,0.826000,0.059914,-0.099614,0.819000,1
1787399908.019415,33,2,0.937006,0.912127,735,552,742,499,meter,0.797000,0.075813,0.187158,0.797000,0.075528,0.185984,0.794000,1
1787399908.019415,33,3,0.942200,0.954774,899,555,900,497,meter,0.808000,0.223594,0.192431,0.808000,0.223871,0.193328,0.809000,1
1787399908.2069545,34,1,0.930305,0.925856,737,262,737,210,meter,0.824500,0.060169,-0.100100,0.824500,0.059951,-0.099614,0.819000,1
1787399908.2069545,34,2,0.936358,0.910315,735,553,742,499,meter,0.794000,0.075528,0.187335,0.794000,0.075528,0.186040,0.794000,1
1787399908.2069545,34,3,0.943130,0.948119,899,558,900,497,meter,0.808000,0.223594,0.196018,0.808000,0.223594,0.193328,0.808000,1
1787399908.4246395,35,1,0.930066,0.923966,737,261,737,210,meter,0.819000,0.059768,-0.100341,0.819000,0.059878,-0.099736,0.819000,1
1787399908.4246395,35,2,0.938575,0.909091,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075528,0.186454,0.794000,1
1787399908.4246395,35,3,0.941728,0.953233,899,556,900,497,meter,0.808000,0.223594,0.193328,0.808000,0.223594,0.193328,0.808000,1
1787399908.6273427,36,1,0.930571,0.929598,738,261,737,210,meter,0.816000,0.060453,-0.099974,0.816000,0.059951,-0.099974,0.819000,1
1787399908.6273427,36,2,0.937456,0.910321,735,552,742,499,meter,0.793000,0.075433,0.185339,0.793000,0.075528,0.186454,0.794000,1
1787399908.6273427,36,3,0.925337,0.954887,899,552,900,496,meter,0.811000,0.224425,0.189546,0.811000,0.223594,0.193328,0.808000,1
1787399908.7835324,37,1,0.931684,0.922807,737,262,737,210,meter,0.821500,0.059951,-0.099736,0.821500,0.059951,-0.099974,0.819000,1
