timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1786437115.4156456,32,2,0.927376,0.856164,908,291,905,239,meter,0.815000,0.233654,-0.046488,0.815000,0.225180,-0.041437,0.816000,1
1786437115.4156456,32,3,0.926946,0.929538,774,561,777,501,meter,0.758000,0.104839,0.185571,0.758000,0.097956,0.192796,0.754500,1
1786437115.4156456,32,4,0.932275,0.903465,942,561,938,500,meter,0.770000,0.249743,0.188508,0.770000,0.243349,0.192424,0.766500,1
1786437115.5241914,33,1,0.911225,0.926476,762,285,760,234,meter,0.843000,0.105393,-0.055569,0.843000,0.093313,-0.050861,0.842000,1
1786437115.5241914,33,2,0.941609,0.903879,910,294,907,241,meter,0.815000,0.235459,-0.043775,0.815000,0.225180,-0.042339,0.816000,1
1786437115.5241914,33,3,0.926643,0.942735,777,566,779,505,meter,0.758000,0.107357,0.190618,0.758000,0.097956,0.191831,0.754500,1
1786437115.5241914,33,4,0.912810,0.872437,945,566,941,506,meter,0.766000,0.250990,0.191779,0.766000,0.243349,0.192252,0.766500,1
1786437115.6498954,34,1,0.911543,0.894784,763,294,762,241,meter,0.842000,0.106200,-0.047094,0.842000,0.093313,-0.050861,0.842000,1
1786437115.6498954,34,2,0.919587,0.849243,912,302,908,251,meter,0.817000,0.237846,-0.037535,0.817000,0.225180,-0.042339,0.816000,1
1786437115.6498954,34,3,0.923927,0.908185,777,573,780,512,meter,0.753000,0.106648,0.195210,0.753000,0.097956,0.191831,0.754500,1
1786437115.6498954,34,4,0.913288,0.852486,949,575,942,516,meter,0.763000,0.253386,0.199496,0.763000,0.243349,0.192252,0.766500,1
1786437115.7588398,35,1,0.913708,0.919504,766,304,765,253,meter,0.845000,0.109386,-0.037884,0.845000,0.093313,-0.050861,0.842500,1
1786437115.7588398,35,2,0.948572,0.902721,915,314,914,262,meter,0.816000,0.240265,-0.026622,0.816000,0.225180,-0.041863,0.816000,1
